dataset,model,score_optimized,score_not_optimized
diabetes,random_forest,0.7421383647798743,0.7439024390243903
diabetes,random_forest,0.6705882352941177,0.6946107784431137
diabetes,random_forest,0.6473988439306358,0.6114649681528662
diabetes,random_forest,0.5974025974025973,0.6282051282051283
diabetes,random_forest,0.6627906976744186,0.6590909090909091
diabetes,random_forest,0.6496815286624203,0.6883116883116882
diabetes,random_forest,0.5594405594405595,0.6068965517241379
diabetes,random_forest,0.6071428571428571,0.6508875739644969
diabetes,random_forest,0.6666666666666667,0.6706586826347305
diabetes,random_forest,0.6380368098159509,0.6347305389221558
diabetes,random_forest,0.5897435897435896,0.6547619047619048
diabetes,random_forest,0.6946107784431137,0.7017543859649124
diabetes,random_forest,0.6075949367088607,0.6583850931677019
diabetes,random_forest,0.6580645161290323,0.6451612903225807
diabetes,random_forest,0.6257668711656442,0.6790123456790124
diabetes,random_forest,0.6122448979591838,0.6666666666666666
diabetes,random_forest,0.6547619047619048,0.6829268292682926
diabetes,random_forest,0.6863905325443788,0.6946107784431137
diabetes,random_forest,0.6583850931677019,0.6470588235294118
diabetes,random_forest,0.6626506024096386,0.6787878787878787
diabetes,random_forest,0.5103448275862068,0.5960264900662251
diabetes,random_forest,0.625,0.6419753086419754
diabetes,random_forest,0.710843373493976,0.7093023255813952
diabetes,random_forest,0.5962732919254657,0.5838509316770186
diabetes,random_forest,0.6385542168674699,0.6829268292682926
diabetes,random_forest,0.6184210526315791,0.7295597484276728
diabetes,random_forest,0.6538461538461539,0.6493506493506493
diabetes,random_forest,0.6508875739644969,0.6585365853658537
diabetes,random_forest,0.6751592356687898,0.6308724832214765
diabetes,random_forest,0.6987951807228916,0.6666666666666666
diabetes,decision_tree,0.5789473684210527,0.6296296296296297
diabetes,decision_tree,0.5534591194968553,0.5180722891566264
diabetes,decision_tree,0.5925925925925926,0.5714285714285715
diabetes,decision_tree,0.6666666666666667,0.5866666666666667
diabetes,decision_tree,0.6904761904761905,0.5590062111801242
diabetes,decision_tree,0.5764705882352942,0.5359477124183006
diabetes,decision_tree,0.6127167630057804,0.5263157894736842
diabetes,decision_tree,0.5975609756097562,0.5222929936305731
diabetes,decision_tree,0.575,0.6666666666666666
diabetes,decision_tree,0.6455696202531646,0.591715976331361
diabetes,decision_tree,0.5925925925925926,0.646341463414634
diabetes,decision_tree,0.5930232558139535,0.5818181818181818
diabetes,decision_tree,0.591715976331361,0.5783132530120482
diabetes,decision_tree,0.5714285714285715,0.5714285714285713
diabetes,decision_tree,0.6390532544378698,0.5555555555555556
diabetes,decision_tree,0.6057142857142856,0.6265060240963854
diabetes,decision_tree,0.5569620253164557,0.576923076923077
diabetes,decision_tree,0.567741935483871,0.5748502994011975
diabetes,decision_tree,0.5555555555555556,0.5795454545454546
diabetes,decision_tree,0.6329113924050633,0.6900584795321637
diabetes,decision_tree,0.5454545454545454,0.6075949367088607
diabetes,decision_tree,0.5853658536585366,0.5806451612903225
diabetes,decision_tree,0.5548387096774193,0.6091954022988506
diabetes,decision_tree,0.55,0.5476190476190476
diabetes,decision_tree,0.6107784431137725,0.6578947368421051
diabetes,decision_tree,0.5508982035928143,0.6035502958579881
diabetes,decision_tree,0.5384615384615385,0.5234899328859061
diabetes,decision_tree,0.6,0.5605095541401274
diabetes,decision_tree,0.6022727272727273,0.5542168674698795
diabetes,decision_tree,0.6748466257668712,0.6341463414634146
diabetes,mlp,0.6547619047619048,0.6666666666666666
