dataset,model,score_optimized,score_not_optimized
diabetes,random_forest,0.6666666666666666,0.6463414634146342
diabetes,random_forest,0.6514285714285715,0.6144578313253012
diabetes,random_forest,0.5853658536585366,0.6583850931677019
diabetes,random_forest,0.654320987654321,0.6956521739130435
diabetes,random_forest,0.5673758865248227,0.5789473684210527
diabetes,random_forest,0.6086956521739131,0.625
diabetes,random_forest,0.5921052631578947,0.6242038216560509
diabetes,random_forest,0.6580645161290323,0.6357615894039734
diabetes,random_forest,0.5806451612903225,0.5405405405405405
diabetes,random_forest,0.6257668711656442,0.6419753086419753
diabetes,random_forest,0.5921052631578947,0.6582278481012659
diabetes,random_forest,0.6153846153846153,0.6871165644171778
diabetes,random_forest,0.6538461538461539,0.6875000000000001
diabetes,random_forest,0.5714285714285714,0.6415094339622641
diabetes,random_forest,0.7080745341614907,0.6582278481012659
diabetes,random_forest,0.5853658536585366,0.638036809815951
diabetes,random_forest,0.7058823529411764,0.6623376623376622
diabetes,random_forest,0.5620915032679739,0.5675675675675677
diabetes,random_forest,0.6666666666666667,0.6470588235294118
diabetes,random_forest,0.5987261146496815,0.5962732919254657
diabetes,random_forest,0.6027397260273973,0.624113475177305
diabetes,random_forest,0.6545454545454545,0.6941176470588235
diabetes,random_forest,0.5290322580645161,0.576923076923077
diabetes,random_forest,0.5833333333333334,0.6049382716049383
diabetes,random_forest,0.6455696202531646,0.6918238993710691
diabetes,random_forest,0.6064516129032258,0.6545454545454545
diabetes,random_forest,0.5695364238410596,0.6296296296296297
diabetes,random_forest,0.6143790849673203,0.6075949367088608
diabetes,random_forest,0.6075949367088607,0.6625766871165645
diabetes,random_forest,0.5925925925925926,0.6250000000000001
diabetes,decision_tree,0.6347305389221558,0.5228758169934641
diabetes,decision_tree,0.5625,0.5962732919254657
diabetes,decision_tree,0.603550295857988,0.6086956521739131
diabetes,decision_tree,0.529032258064516,0.5714285714285714
diabetes,decision_tree,0.6390532544378698,0.6081871345029239
diabetes,decision_tree,0.5256410256410257,0.6122448979591836
diabetes,decision_tree,0.5806451612903225,0.5935483870967742
diabetes,decision_tree,0.6144578313253012,0.5844155844155845
diabetes,decision_tree,0.5679012345679012,0.5798816568047338
diabetes,decision_tree,0.5838509316770186,0.6282051282051283
diabetes,decision_tree,0.5660377358490566,0.6506024096385542
diabetes,decision_tree,0.6134969325153374,0.5859872611464968
diabetes,decision_tree,0.573170731707317,0.5189873417721518
diabetes,decision_tree,0.5850340136054422,0.5751633986928105
diabetes,decision_tree,0.638036809815951,0.6289308176100629
diabetes,decision_tree,0.5833333333333334,0.4897959183673469
diabetes,decision_tree,0.6470588235294118,0.591715976331361
diabetes,decision_tree,0.5818181818181818,0.655367231638418
diabetes,decision_tree,0.6012269938650306,0.5234899328859061
diabetes,decision_tree,0.5822784810126583,0.5165562913907285
diabetes,decision_tree,0.5822784810126583,0.5408805031446542
diabetes,decision_tree,0.5822784810126582,0.5421686746987951
diabetes,decision_tree,0.5818181818181819,0.6171428571428571
diabetes,decision_tree,0.5751633986928105,0.6153846153846154
diabetes,decision_tree,0.6086956521739131,0.6144578313253013
diabetes,decision_tree,0.6107784431137725,0.5647058823529411
diabetes,decision_tree,0.5487804878048781,0.6037735849056604
diabetes,decision_tree,0.5925925925925926,0.65
diabetes,decision_tree,0.6081871345029239,0.650887573964497
diabetes,decision_tree,0.6419753086419753,0.6785714285714286
diabetes,mlp,0.5652173913043478,0.5897435897435898
diabetes,mlp,0.689655172413793,0.7167630057803468
diabetes,mlp,0.6704545454545455,0.6742857142857142
diabetes,mlp,0.6585365853658537,0.6745562130177516
diabetes,mlp,0.589041095890411,0.6625
diabetes,mlp,0.6826347305389222,0.6946107784431137
diabetes,mlp,0.5974025974025974,0.6436781609195402
diabetes,mlp,0.6493506493506493,0.6233766233766234
diabetes,mlp,0.6629213483146067,0.6470588235294118
diabetes,mlp,0.6754966887417219,0.6909090909090909
diabetes,mlp,0.6707317073170732,0.6666666666666667
diabetes,mlp,0.6628571428571429,0.6071428571428571
diabetes,mlp,0.5750000000000001,0.5555555555555556
diabetes,mlp,0.6503067484662576,0.7134502923976608
diabetes,mlp,0.5962732919254657,0.6335403726708074
diabetes,mlp,0.6064516129032258,0.6103896103896104
diabetes,mlp,0.5616438356164384,0.5949367088607596
diabetes,mlp,0.670967741935484,0.679245283018868
diabetes,mlp,0.6181818181818182,0.6272189349112426
diabetes,mlp,0.5548387096774193,0.5874999999999999
diabetes,mlp,0.7111111111111111,0.6705202312138728
diabetes,mlp,0.5660377358490566,0.6172839506172839
diabetes,mlp,0.6103896103896105,0.6144578313253013
