dataset,model,size_10,size_15
ionosphere,random_forest,0.8823529411764706,0.935064935064935
ionosphere,random_forest,0.9866666666666666,0.9
ionosphere,random_forest,0.8500000000000001,0.9487179487179489
ionosphere,random_forest,0.904109589041096,0.9367088607594938
ionosphere,random_forest,0.9230769230769231,0.9066666666666667
ionosphere,random_forest,0.8837209302325582,0.9135802469135803
ionosphere,random_forest,0.904109589041096,0.9736842105263158
ionosphere,random_forest,0.8648648648648649,0.8860759493670887
ionosphere,random_forest,0.9230769230769231,0.9113924050632912
ionosphere,random_forest,0.898550724637681,0.9367088607594938
ionosphere,random_forest,0.9047619047619047,0.8571428571428572
ionosphere,random_forest,0.8947368421052632,0.8888888888888888
ionosphere,random_forest,0.8918918918918918,0.9230769230769231
ionosphere,random_forest,0.9090909090909091,0.9066666666666667
ionosphere,random_forest,0.9210526315789473,0.904109589041096
ionosphere,random_forest,0.9487179487179489,0.9210526315789473
ionosphere,random_forest,0.8888888888888888,0.925
ionosphere,random_forest,0.9333333333333332,0.9367088607594938
ionosphere,random_forest,0.9367088607594938,0.8648648648648649
ionosphere,random_forest,0.8860759493670887,0.9113924050632912
ionosphere,random_forest,0.935064935064935,0.935064935064935
ionosphere,random_forest,0.918918918918919,0.8717948717948718
ionosphere,random_forest,0.9333333333333332,0.9473684210526315
ionosphere,random_forest,0.935064935064935,0.9230769230769231
ionosphere,random_forest,0.8918918918918918,0.9333333333333332
ionosphere,random_forest,0.9473684210526315,0.8641975308641974
ionosphere,random_forest,0.904109589041096,0.8767123287671234
ionosphere,random_forest,0.9066666666666667,0.9333333333333332
ionosphere,random_forest,0.8888888888888888,0.88
ionosphere,random_forest,0.9066666666666667,0.9382716049382717
ionosphere,decision_tree,0.8285714285714286,0.8450704225352113
ionosphere,decision_tree,0.8048780487804879,0.8421052631578947
ionosphere,decision_tree,0.8266666666666665,0.8461538461538461
ionosphere,decision_tree,0.8169014084507042,0.8055555555555555
ionosphere,decision_tree,0.8536585365853658,0.88
ionosphere,decision_tree,0.8205128205128205,0.861111111111111
ionosphere,decision_tree,0.8536585365853658,0.9210526315789473
ionosphere,decision_tree,0.8219178082191781,0.8
ionosphere,decision_tree,0.925,0.8493150684931505
ionosphere,decision_tree,0.8571428571428572,0.782608695652174
ionosphere,decision_tree,0.8947368421052632,0.9268292682926829
ionosphere,decision_tree,0.7352941176470588,0.9090909090909091
ionosphere,decision_tree,0.8108108108108109,0.7631578947368421
ionosphere,decision_tree,0.8,0.9500000000000001
ionosphere,decision_tree,0.8450704225352113,0.9333333333333332
ionosphere,decision_tree,0.8157894736842104,0.8641975308641974
ionosphere,decision_tree,0.8205128205128205,0.7631578947368421
ionosphere,decision_tree,0.875,0.8219178082191781
ionosphere,decision_tree,0.8831168831168831,0.8648648648648649
ionosphere,decision_tree,0.8717948717948718,0.8219178082191781
ionosphere,decision_tree,0.8354430379746836,0.8235294117647057
ionosphere,decision_tree,0.7857142857142858,0.7499999999999999
ionosphere,decision_tree,0.8450704225352113,0.7804878048780488
ionosphere,decision_tree,0.8533333333333334,0.8780487804878049
ionosphere,decision_tree,0.9156626506024096,0.8311688311688312
ionosphere,decision_tree,0.8235294117647058,0.8533333333333334
ionosphere,decision_tree,0.9,0.8780487804878049
ionosphere,decision_tree,0.8148148148148148,0.7272727272727273
ionosphere,decision_tree,0.8888888888888888,0.8947368421052632
ionosphere,decision_tree,0.8205128205128205,0.8433734939759038
ionosphere,mlp,0.9473684210526315,0.891566265060241
ionosphere,mlp,0.8571428571428571,0.860759493670886
ionosphere,mlp,0.868421052631579,0.9
ionosphere,mlp,0.8705882352941177,0.891566265060241
ionosphere,mlp,0.891566265060241,0.9382716049382717
ionosphere,mlp,0.9268292682926829,0.8266666666666665
ionosphere,mlp,0.8372093023255814,0.9135802469135803
ionosphere,mlp,0.8095238095238095,0.9135802469135803
ionosphere,mlp,0.9135802469135803,0.8809523809523809
ionosphere,mlp,0.8433734939759038,0.8735632183908045
ionosphere,mlp,0.9024390243902439,0.9268292682926829
ionosphere,mlp,0.8636363636363636,0.8222222222222223
ionosphere,mlp,0.9024390243902439,0.9230769230769231
ionosphere,mlp,0.9024390243902439,0.925
ionosphere,mlp,0.8809523809523809,0.8941176470588235
ionosphere,mlp,0.925,0.9156626506024096
ionosphere,mlp,0.9382716049382717,0.8837209302325582
ionosphere,mlp,0.8837209302325582,0.8831168831168831
ionosphere,mlp,0.9500000000000001,0.9156626506024096
