dataset,model,size_10,size_15
sonar,random_forest,0.888888888888889,0.8135593220338982
sonar,random_forest,0.8666666666666667,0.7796610169491527
sonar,random_forest,0.7666666666666667,0.8484848484848485
sonar,random_forest,0.7450980392156863,0.8214285714285715
sonar,random_forest,0.8064516129032259,0.8
sonar,random_forest,0.8135593220338982,0.7301587301587301
sonar,random_forest,0.8214285714285715,0.6274509803921569
sonar,random_forest,0.8615384615384616,0.7741935483870969
sonar,random_forest,0.7924528301886793,0.6666666666666666
sonar,random_forest,0.7812500000000001,0.78125
sonar,random_forest,0.8571428571428572,0.888888888888889
sonar,random_forest,0.7936507936507937,0.7540983606557377
sonar,random_forest,0.7741935483870968,0.8571428571428572
sonar,random_forest,0.819672131147541,0.7384615384615385
sonar,random_forest,0.793103448275862,0.7605633802816902
sonar,random_forest,0.7540983606557377,0.7457627118644068
sonar,random_forest,0.8333333333333334,0.8
sonar,random_forest,0.8275862068965518,0.8125
sonar,random_forest,0.8064516129032259,0.8571428571428571
sonar,random_forest,0.8666666666666666,0.7540983606557378
sonar,random_forest,0.7540983606557377,0.8524590163934426
sonar,random_forest,0.8524590163934426,0.8307692307692308
sonar,random_forest,0.7999999999999999,0.8709677419354839
sonar,random_forest,0.8070175438596491,0.8333333333333334
sonar,random_forest,0.819672131147541,0.8852459016393444
sonar,random_forest,0.8214285714285715,0.7692307692307692
sonar,random_forest,0.8666666666666666,0.75
sonar,random_forest,0.7868852459016394,0.736842105263158
sonar,random_forest,0.736842105263158,0.746268656716418
sonar,random_forest,0.7999999999999999,0.9032258064516129
sonar,decision_tree,0.8196721311475409,0.7428571428571429
sonar,decision_tree,0.746268656716418,0.6557377049180328
sonar,decision_tree,0.7,0.7246376811594204
sonar,decision_tree,0.7419354838709677,0.5818181818181818
sonar,decision_tree,0.6181818181818183,0.7936507936507938
sonar,decision_tree,0.6129032258064515,0.6909090909090909
sonar,decision_tree,0.7636363636363636,0.7812500000000001
sonar,decision_tree,0.6545454545454545,0.8421052631578948
sonar,decision_tree,0.7241379310344827,0.8
sonar,decision_tree,0.6,0.6428571428571429
sonar,decision_tree,0.5490196078431373,0.6538461538461539
sonar,decision_tree,0.8214285714285715,0.7692307692307692
sonar,decision_tree,0.7346938775510204,0.75
sonar,decision_tree,0.7457627118644068,0.6315789473684211
sonar,decision_tree,0.75,0.7647058823529411
sonar,decision_tree,0.7213114754098361,0.7384615384615385
sonar,decision_tree,0.746268656716418,0.7301587301587302
sonar,decision_tree,0.7407407407407408,0.6885245901639345
sonar,decision_tree,0.7540983606557377,0.6557377049180327
sonar,decision_tree,0.7887323943661972,0.761904761904762
sonar,decision_tree,0.8,0.7931034482758621
sonar,decision_tree,0.6785714285714286,0.45833333333333337
sonar,decision_tree,0.7241379310344827,0.6037735849056605
sonar,decision_tree,0.7692307692307692,0.6451612903225807
sonar,decision_tree,0.8,0.6909090909090909
sonar,decision_tree,0.6779661016949153,0.6363636363636365
sonar,decision_tree,0.6071428571428571,0.6666666666666667
sonar,decision_tree,0.7636363636363636,0.6769230769230768
sonar,decision_tree,0.6923076923076923,0.711864406779661
sonar,decision_tree,0.7868852459016393,0.5964912280701754
