dataset,model,score_optimized,score_not_optimized
diabetes,random_forest,0.5844155844155844,0.6540880503144655
diabetes,random_forest,0.5897435897435898,0.6114649681528662
diabetes,random_forest,0.710059171597633,0.6863905325443787
diabetes,random_forest,0.6455696202531644,0.6666666666666666
diabetes,random_forest,0.6582278481012659,0.65
diabetes,random_forest,0.589041095890411,0.6621621621621623
diabetes,random_forest,0.7272727272727272,0.7023809523809523
diabetes,random_forest,0.6547619047619048,0.6863905325443787
diabetes,random_forest,0.6625,0.6875
diabetes,random_forest,0.6835443037974684,0.632258064516129
diabetes,random_forest,0.6744186046511628,0.6586826347305389
diabetes,random_forest,0.6216216216216215,0.6496815286624203
diabetes,random_forest,0.5949367088607596,0.6380368098159509
diabetes,random_forest,0.6580645161290323,0.65
diabetes,random_forest,0.6540880503144653,0.6540880503144653
diabetes,random_forest,0.6455696202531646,0.7085714285714286
diabetes,random_forest,0.646341463414634,0.646341463414634
diabetes,random_forest,0.6748466257668712,0.7080745341614907
diabetes,random_forest,0.6625766871165645,0.6447368421052632
diabetes,random_forest,0.5844155844155845,0.6114649681528662
diabetes,random_forest,0.6753246753246753,0.6335403726708074
diabetes,random_forest,0.627906976744186,0.6467065868263472
diabetes,random_forest,0.670807453416149,0.6987951807228916
diabetes,random_forest,0.5988023952095808,0.6455696202531644
diabetes,random_forest,0.7421383647798743,0.7320261437908496
diabetes,random_forest,0.7011494252873564,0.6666666666666667
diabetes,random_forest,0.6506024096385542,0.6341463414634146
diabetes,random_forest,0.6257668711656442,0.6272189349112426
diabetes,random_forest,0.6012269938650308,0.6257668711656442
diabetes,random_forest,0.6583850931677019,0.703030303030303
diabetes,decision_tree,0.6303030303030304,0.6162790697674418
diabetes,decision_tree,0.6,0.6470588235294118
diabetes,decision_tree,0.6049382716049383,0.5802469135802469
diabetes,decision_tree,0.6,0.6184210526315791
diabetes,decision_tree,0.5903614457831327,0.6242774566473988
diabetes,decision_tree,0.5988023952095808,0.5962732919254657
diabetes,decision_tree,0.691358024691358,0.6627218934911243
diabetes,decision_tree,0.5432098765432098,0.6303030303030304
diabetes,decision_tree,0.6590909090909091,0.5256410256410255
diabetes,decision_tree,0.49333333333333335,0.5
diabetes,decision_tree,0.6,0.5844155844155845
diabetes,decision_tree,0.5859872611464968,0.5359477124183006
diabetes,decision_tree,0.5316455696202531,0.6181818181818182
diabetes,decision_tree,0.5660377358490567,0.6496815286624203
diabetes,decision_tree,0.5534591194968553,0.6455696202531644
diabetes,decision_tree,0.6358381502890175,0.6046511627906976
diabetes,decision_tree,0.6415094339622641,0.6303030303030304
diabetes,decision_tree,0.5766871165644172,0.6589595375722543
diabetes,decision_tree,0.6198830409356725,0.5675675675675677
