dataset,model,size_10,size_15
ionosphere,random_forest,0.925,0.9473684210526315
ionosphere,random_forest,0.9487179487179489,0.8717948717948718
ionosphere,random_forest,0.9620253164556963,0.958904109589041
ionosphere,random_forest,0.88,0.9333333333333332
ionosphere,random_forest,0.88,0.9066666666666667
ionosphere,random_forest,0.9,0.9113924050632912
ionosphere,random_forest,0.9367088607594938,0.9066666666666667
ionosphere,random_forest,0.8860759493670887,0.8974358974358975
ionosphere,random_forest,0.868421052631579,0.9210526315789473
ionosphere,random_forest,0.8947368421052632,0.8947368421052632
ionosphere,random_forest,0.9113924050632912,0.9736842105263158
ionosphere,random_forest,0.8918918918918918,0.9210526315789473
ionosphere,random_forest,0.9210526315789473,0.8947368421052632
ionosphere,random_forest,0.9066666666666667,0.8767123287671234
ionosphere,random_forest,0.9210526315789473,0.8405797101449276
ionosphere,random_forest,0.875,0.8421052631578947
ionosphere,random_forest,0.925,0.9090909090909091
ionosphere,random_forest,0.8860759493670887,0.9500000000000001
ionosphere,random_forest,0.9024390243902439,0.9736842105263158
ionosphere,random_forest,0.9230769230769231,0.8947368421052632
ionosphere,random_forest,0.9500000000000001,0.9210526315789473
ionosphere,random_forest,0.9210526315789473,0.88
ionosphere,random_forest,0.9090909090909091,0.9113924050632912
ionosphere,random_forest,0.935064935064935,0.9333333333333332
ionosphere,random_forest,0.918918918918919,0.8860759493670887
ionosphere,random_forest,0.9487179487179489,0.9230769230769231
ionosphere,random_forest,0.8378378378378377,0.9066666666666667
ionosphere,random_forest,0.9610389610389611,0.9610389610389611
ionosphere,random_forest,0.860759493670886,0.8888888888888888
ionosphere,random_forest,0.8974358974358975,0.9473684210526315
ionosphere,decision_tree,0.8115942028985507,0.7499999999999999
ionosphere,decision_tree,0.8533333333333334,0.8974358974358975
ionosphere,decision_tree,0.860759493670886,0.860759493670886
ionosphere,decision_tree,0.9090909090909091,0.8674698795180723
ionosphere,decision_tree,0.8947368421052632,0.8831168831168831
ionosphere,decision_tree,0.8947368421052632,0.8055555555555555
ionosphere,decision_tree,0.8571428571428572,0.8266666666666665
ionosphere,decision_tree,0.8831168831168831,0.7901234567901234
ionosphere,decision_tree,0.8648648648648649,0.8732394366197183
ionosphere,decision_tree,0.8311688311688312,0.9
ionosphere,decision_tree,0.8354430379746836,0.8571428571428572
ionosphere,decision_tree,0.8717948717948718,0.861111111111111
ionosphere,decision_tree,0.8947368421052632,0.8648648648648649
ionosphere,decision_tree,0.8717948717948718,0.8918918918918918
